category,business name,description,detail,url
B2B services,"CYBEREVOLUTION, INC.","real-time biophysical data acquisition, processing, and display",,http://www.cyberevolution.com/index.html
B2B services,ALDERMARSH,retreats,5 acre retreat destination,https://www.aldermarsh.net
B2B services,SAVAGE SCREEN PRINTING LLC,screen printing and embroidery,,https://www.savagescreenprinting.com/index
B2B services,CHASE SCIENTIFIC LLC,"security, robotics, food production",,https://www.chase-scientific.com
B2B services,Z-PULLEY INCORPORATED,spatial software,,http://z-pulley.com/#pr
B2B services,"BDUB RELATIONS, LLC",uplift your brand,,https://bdubrelations.com
clubs and causes,ISLAND ROWING ASSOCIATION,sports,,https://islandrowing.org
clubs and causes,ALONGSIDE MINISTRIES INTERNATIONAL,advancing the Christian gospel,,https://www.alongside.org
clubs and causes,"HOME ON WHIDBEY, A COMMUNITY LAND TRUST",affordable housing on south Whidbey,,https://www.homeonwhidbey.org
clubs and causes,BALLYDIDEAN FARM SANCTUARY,"allydídean rescues, rehabilitates, and rehomes farmed animals who are unwanted, neglected, or abused",,https://ballydidean.farm/
clubs and causes,KISEKI HORSE RESCUE FOUNDATION,animal rescue,,https://www.kisekihorserescue.org
clubs and causes,THE APPLIQUE SOCIETY,applique in quilting,,https://theappliquesociety.org
clubs and causes,ISLAND SHAKESPEARE FESTIVAL,arts,,http://www.islandshakespearefest.org/
clubs and causes,NORTHWEST ART ALLIANCE,arts,,https://nwartalliance.org
clubs and causes,WHIDBEY ISLAND HOLISTIC HEALTH ASSOCIATION,association for holistic health,,https://www.wihha.com
clubs and causes,WHIDBEY AUDUBON SOCIETY,audubon society,,https://www.whidbeyaudubonsociety.org/
clubs and causes,ISLAND BEACH ACCESS,beach access,,https://www.islandbeachaccess.org/index.php
clubs and causes,WHIDBEY ISLAND BED & BREAKFAST ASSOCIATION,bed and breakfast association,,https://www.whidbeyislandbandb.com
clubs and causes,SOUTH WHIDBEY SCHOOLS FOUNDATION,building relationships between our community and schools,,https://swsfoundation.org
clubs and causes,LANGLEY MAIN STREET ASSOCIATION,business,,https://langleymainstreet.org/
clubs and causes,GREATER FREELAND CHAMBER OF COMMERCE,chamber of commerce,,https://freelandchamber.org
clubs and causes,THE LANGLEY CHAMBER OF COMMERCE,chamber of commerce,,https://visitlangley.com
clubs and causes,"CHRISTIAN SCIENCE SOCIETY, LANGLEY, WASHINGTON",Christian Science Society of South Whidbey,,https://christiansciencesouthwhidbey.com
clubs and causes,CHRISTIAN LIFE COMMUNITY CHURCH OF WHIDBEY ISLAND,Church Christian,,http://clcwhidbey.com
clubs and causes,HILLSIDE EVANGELICAL FREE CHURCH,church evangelical,,http://hillside-efc.com
clubs and causes,LANGLEY UNITED METHODIST CHURCH,church methodist,,https://langleyumc.org
clubs and causes,SOUTH WHIDBEY ASSEMBLY OF GOD,"Church, Christian",,https://www.swagchurch.com
clubs and causes,SOUTH WHIDBEY CHURCH OF CHRIST,"Church, Christian",,https://www.southwhidbeychurchofchrist.org
clubs and causes,THE CHRISTIAN AND MISSIONARY ALLIANCE CHURCH OF LANGLEY,"church, Christian",,https://icwhidbey.org
clubs and causes,"ST. AUGUSTINE'S IN-THE-WOODS EPISCOPAL PARISH, FREELAND,  WASHINGTON","church, episcopal",,https://www.staugustinesepiscopalchurch.org
clubs and causes,CALVARY CHAPEL OF WHIDBEY ISLAND,"church, evangelical",,https://www.ccwhidbey.com
clubs and causes,UNITY OF WHIDBEY,"church, Unity",,https://www.unityofwhidbey.org
clubs and causes,CLINTON COMMUNITY COUNCIL,Clinton Community Council,,https://clintoncommunitycouncil.org
clubs and causes,WHIDBY COMMUNITY HALL ASSOCIATION,community hall,,http://www.bayviewhall.org
clubs and causes,"LIVING DESIGN FOUNDATION, INC. DBA LIVING DESIGN FOUNDATION",curriculum development in education,,https://www.livingdesignfoundation.org
clubs and causes,CASCADE DACHSHUND CLUB,dachshund club,,https://www.cascadedachs.org
clubs and causes,THE WASHINGTON STATE SOCIETY OF THE NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,Daughters of the American Revolution,,https://www.wadar.org
clubs and causes,ONENESS PROJECT,Dedicated to the Dances of Universal Peace,,https://onenessproject.com
clubs and causes,XENV,Defending vital ecosystems in Island County and beyond since 1989,,http://www.whidbeyenvironment.org/
clubs and causes,ORCA NETWORK,educating the public and protecting orcas and their habitat,,http://www.orcanetwork.org/
clubs and causes,GOOSEFOOT COMMUNITY FUND,essential community solutions,,https://goosefoot.org/news-events/
clubs and causes,HEALING CIRCLES LANGLEY,facilitating human connections,,https://healingcircleslangley.org
clubs and causes,AMERICAN GIN & TONIC DESIGNERS ASSOCIATION,food and beverages,,https://www.agtda.org
clubs and causes,NORTHWEST FOOD ALLIANCE INC,food secure communities,,https://northwestfoodalliance.com
clubs and causes,WHIDBEY ISLAND NOURISHES,food security and nourishment programs for youth on South Whidbey Island,,https://www.whidbeyislandnourishes.org/
clubs and causes,IMPACT TEAMS INTERNATIONAL,fundraising for children in developing Nations,,http://www.impactkids.org/index.html
clubs and causes,MEERKERK RHODODENDRON GARDENS,gardening,,http://www.meerkerkgardens.org/
clubs and causes,GENEALOGICAL SOCIETY OF SOUTH WHIDBEY ISLAND,Genealogical Society,,http://www.gsswi.org/index.shtml
clubs and causes,SOROPTIMISTS INTERNATIONAL OF SOUTH WHIDBEY ISLAND,girl empowerment,,https://soroptimistsouthwhidbey.org
clubs and causes,ROD AND GUN SAFETY EDUCATION CLUB,gun safety,,https://www.hhrodandgun.com
clubs and causes,HELPING HAND OF SOUTH WHIDBEY,"Helping Hand provides immediate financial assistance to residents of South Whidbey when basic services of life and well-being are in danger of being discontinued, and makes referrals for longer-term assistance.",,https://helpinghandofsouthwhidbey.org
clubs and causes,SALISH SEA COOPERATIVE FINANCE,"helping members align their money with their values through investing, borrowing, and financial literacy.",,https://salishseafinance.coop
clubs and causes,SOUTH WHIDBEY HISTORICAL SOCIETY,historical society,,https://southwhidbeyhistory.org
clubs and causes,HOLMES HARBOR ROD AND GUN CLUB,Holmes Harbor rod and gun club,,https://www.hhrodandgun.com
clubs and causes,"THE GIRAFFE PROJECT, INC. DBA THE GIRAFFE PROJECT","honoring compassionate risk-takers with the courage to stick their necks out for the common good, in the US and around the world.",,https://www.giraffe.org
clubs and causes,THE M-BAR-C RANCH (THE FORGOTTEN CHILDREN'S FUND),horse refuge,,https://www.facebook.com/mbcranch
clubs and causes,MOBILE TURKEY UNIT OF WHIDBEY ISLAND,human services,,https://www.mobileturkeyunit.com/
clubs and causes,MOTHER MENTORS OF WHIDBEY ISLAND,human services,,https://www.mothermentors.org
clubs and causes,THE PRESERVE AT TRILLIUM,land conservation,,https://www.wclt.org/projects/trillium-community-forest/
clubs and causes,THE LANGLEY COMMUNITY CLUB,Langley community club,,https://langleycommunityclub.wordpress.com/events/
clubs and causes,LANGLEY VILLAGE ASSOCIATION,Langley Main St,,https://langleymainstreet.org
clubs and causes,ISLAND ROOTS HOUSING,local housing,,https://islandrootshousing.org
clubs and causes,THE TRINITY LUTHERAN CHURCH OF FREELAND,Lutheran church,,https://trinitylutheranfreeland.org
clubs and causes,WHIDBEY HOMELESS COALITION,Making homelessness a brief and rare experience on Whidbey Island,,https://www.whidbeyhomeless.org
clubs and causes,FETCH,off leash dog parks,,http://www.fetchparks.org/index.html
clubs and causes,CUGOS,Open Source GIS professionals,,https://cugos.org 
clubs and causes,WHIDBEY ISLAND ORCHESTRA,orchestra,,https://www.whidbeyorchestras.org/index.html
clubs and causes,MOVING IMAGES VIDEO PROJECT,peace,,https://www.movingimages.org/index.htm
clubs and causes,SCIENCE AND SPIRIT INSTITUTE,"promote and engage in the study and uses of energy as relates to physics, medicine, spirit, and art from the perspective of the holistic divine feminine that all is connected.",,https://scienceandspirit.institute
clubs and causes,HEARTS & HAMMERS,rehabilitating houses for those in need,,http://www.heartsandhammers.com/
clubs and causes,ROTARY CLUB OF SOUTH WHIDBEY ISLAND,rotary,,https://portal.clubrunner.ca/811/
clubs and causes,ROTARY CLUB OF WHIDBEY WESTSIDE,rotary,,https://portal.clubrunner.ca/9353/
clubs and causes,SLOW FOOD WHIDBEY ISLAND,slow food,,https://slowfoodwhidbeyisland.org/
clubs and causes,WHIDBEY ISLAND FLY FISHING CLUB,sports,,https://www.wiffc.com/
clubs and causes,INTERNATIONAL STEEL SHOOTING ASSOCIATION,steel shooting,,https://www.internationalsteelshoot.com
clubs and causes,HEDGEBROOK,supporting visionary women writers,,https://hedgebrook.org/
clubs and causes,CLINTON CHAMBER OF COMMERCE,tourism,,https://discoverclintonwa.com
clubs and causes,TUSUBIRA - WE HAVE HOPE,uganda,,http://www.tusubira.org
clubs and causes,THE UNITARIAN UNIVERSALIST CONGREGATION OF WHIDBEY ISLAND,Unitarian Universalist church,,https://uucwi.org
clubs and causes,VETERANS RESOURCE CENTER,veteran resources,,https://www.whidbeyvrc.org
clubs and causes,SOUTH WHIDBEY TILTH ASSOCIATION,"we are a community of gardeners, farmers and consumers on South Whidbey Island who support good tilth–carbon-rich, living soil–as the foundation of a vibrant and biodiverse agriculture.",,https://www.southwhidbeytilth.org/events
clubs and causes,WHIDBEY ENVIRONMENTAL ACTION NETWORK,wean environmental protection,Defending vital ecosystems in Island County and beyond since 1989,https://www.whidbeyenvironment.org
clubs and causes,ISLAND ARTS COUNCIL,"WIAC fosters local artists and arts organizations through grants, fiscal management and sponsorship",,https://www.islandartscouncil.org
clubs and causes,SOUTH WHIDBEY YACHT CLUB,yacht club,,https://swyachtclub.org
clubs and causes,BABY ISLAND-SARATOGA CLUB,youth scholarships,,https://www.babyislandsaratogaclub.org/
clubs and causes,SOUTH WHIDBEY YACHT CLUB YOUTH SAILING ASSOCIATION,youth sports,,https://swyachtclub.org/learn-to-sail/
construction,"FLAT ROCK PRODUCTIONS, LLC",architect,general contractor construction,https://www.flatrockproductions.com
construction,SOUNDESIGN GROUP PLLC,architect,general contractor construction,https://www.sdg.build
construction,TAPROOT ARCHITECTS LLC,architect,general contractor construction,https://www.taproot.us
construction,TAPROOT ARCHITECTS LLC2,architect,general contractor construction,https://www.taproot.us
construction,"ISLAND ASPHALT & SITEWORK, INC.",asphalt and sitework,general contractor construction,https://www.facebook.com/islandasphalt/
construction,MOSELER CONCRETE LLC,concrete,general contractor construction,https://members.sicba.org/list/member/moseler-concrete-llc-3015
construction,"NORTH RIVER CONCRETE PUMPING, LLC",concrete pumping,general contractor construction,https://northriverconcretepumping.com/about.php
construction,"PUGET SOUND CONCRETE PUMPING SERVICES, INC",concrete pumping,general contractor construction,https://puget-sound-concrete-pumping.business.site
construction,GREG GILLES CONSTRUCTION SERVICES LLC,custom homes,general contractor construction,https://www.greggillesconstruction.com
construction,GRIZZLY BUILT HOMES LLC,custom homes,general contractor construction,https://grizzlybuilthomes.com
construction,"HEGGENES CONSTRUCTION, INC.",custom homes,general contractor construction,http://www.heggenesconstruction.com
construction,"WHIDBEY'S T&T CONSTRUCTION, INC",earthwork,general contractor construction,https://whidbeystandtconstruction.com
construction,GEOSHIP S.P.C.,eco dome homes,general contractor construction,https://www.geoship.is
construction,"JERRY BECK & COMPANY, INC.","electrical, voice and data wiring",general contractor construction,http://www.jerrybeck.com
construction,"X-SOUND ENGINEERING, INC.",engineer: civil and structural engineering firm,general contractor construction,http://www.x-soundengineering.com/home.html
construction,"SARATOGA ENVIRONMENTAL, INC.","environmental and land development services to landowners, builders, architects and real estate agents in Island County",general contractor construction,https://saratogaenv.com
construction,"SOUND SLOPE & SHORELINE, INC.",erosion control business,general contractor construction,https://soundslopeshoreline.com
construction,C&C WILKIE EXCAVATING AND LANDSCAPING LLC,excavation,general contractor construction,https://www.ccwilkie.com
construction,GREENBANK CONSTRUCTION LLC,excavation,general contractor construction,https://www.facebook.com/GREENBANKCONSTRUCTIONLLC/
construction,NETTLEBECK TRACTOR WORKS LLC,excavation,general contractor construction,https://nettlebecktractorworks.com
construction,"BLACK HORSE CONTRACTING, LLC",excavation fencing outbuildings,general contractor construction,https://www.blackhorsecontracting.com
construction,MCBRIDE FENCE INC.,fencing,general contractor construction,https://www.mcbridefenceinc.com
construction,"KHAYA WOODWORKS, LLC",fine furniture and cabinetry,general contractor construction,https://www.khayawoodworks.com
construction,TWISTING ALDERS LLC,"foundations, concrete",general contractor construction,https://twisting-alders.business.site
construction,ISLAND GAS PIPING AND STOVE INSTALLS LLC,gas piping installation,general contractor construction,https://www.islandgaspiping.com
construction,WHIDBEY GEOLOGICAL L.L.C.,"geological services, site plans",general contractor construction,https://www.whidbeygeological.com
construction,COUNTRY ROAD LLC,gravel driveways,general contractor construction,https://www.mycountryroad.com
construction,"SWIFT HANDYMAN SERVICE, LLC",handyman,general contractor construction,https://www.facebook.com/LennyisSwift/
construction,"ISLAND DUCTLESS SOLUTIONS, LLC","heat pumps, ductless",general contractor construction,https://www.islandheatpumps.com
